Distance: 628.000000, Angle: 281.000000 --- diff is 1.625000
Distance: 0.000000, Angle: 288.203125 --- diff is 7.203125
Distance: 0.000000, Angle: 289.671875 --- diff is 1.468750
Distance: 0.000000, Angle: 291.140625 --- diff is 1.468750
Distance: 0.000000, Angle: 292.609375 --- diff is 1.468750
Distance: 0.000000, Angle: 294.093750 --- diff is 1.484375
Distance: 0.000000, Angle: 295.562500 --- diff is 1.468750
Distance: 554.250000, Angle: 291.531250 --- diff is -4.031250
Distance: 0.000000, Angle: 298.500000 --- diff is 6.968750
Distance: 0.000000, Angle: 299.984375 --- diff is 1.484375
Distance: 581.250000, Angle: 296.031250 --- diff is -3.953125
Distance: 583.000000, Angle: 297.468750 --- diff is 1.437500
Distance: 0.000000, Angle: 304.406250 --- diff is 6.937500
Distance: 586.000000, Angle: 300.453125 --- diff is -3.953125
Distance: 587.500000, Angle: 301.781250 --- diff is 1.328125
Distance: 592.500000, Angle: 303.312500 --- diff is 1.531250
Distance: 0.000000, Angle: 310.312500 --- diff is 7.000000
Distance: 0.000000, Angle: 311.781250 --- diff is 1.468750
Distance: 0.000000, Angle: 313.250000 --- diff is 1.468750
Distance: 0.000000, Angle: 314.734375 --- diff is 1.484375
Distance: 0.000000, Angle: 316.203125 --- diff is 1.468750
Distance: 0.000000, Angle: 317.671875 --- diff is 1.468750
Distance: 0.000000, Angle: 319.156250 --- diff is 1.484375
Distance: 0.000000, Angle: 320.625000 --- diff is 1.468750
Distance: 0.000000, Angle: 322.093750 --- diff is 1.468750
Distance: 0.000000, Angle: 323.562500 --- diff is 1.468750
Distance: 0.000000, Angle: 325.046875 --- diff is 1.484375
Distance: 0.000000, Angle: 326.515625 --- diff is 1.468750
Distance: 0.000000, Angle: 327.984375 --- diff is 1.468750
Distance: 0.000000, Angle: 329.468750 --- diff is 1.484375
Distance: 0.000000, Angle: 331.078125 --- diff is 1.609375
Distance: 0.000000, Angle: 332.562500 --- diff is 1.484375
Distance: 0.000000, Angle: 334.046875 --- diff is 1.484375
Distance: 0.000000, Angle: 335.515625 --- diff is 1.468750
Distance: 0.000000, Angle: 337.000000 --- diff is 1.484375
